date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:42:22	683/683	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Feb%202022%2003:42:24%20GMT	http://66.29.141.231/robots.txt		(from )
10:42:23	226173/226173	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2016:49:38%20GMT	http://66.29.141.231/	D:/RTP%20OKE/66.29.141.231/index.html	(from )
10:42:24	160302/160302	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	D:/RTP%20OKE/maxcdn.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from http://66.29.141.231/)
10:42:24	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	D:/RTP%20OKE/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from http://66.29.141.231/)
10:42:24	60044/60044	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	D:/RTP%20OKE/maxcdn.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from http://66.29.141.231/)
10:42:25	9856/9856	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Dec%202021%2019:01:02%20GMT	http://66.29.141.231/css/slot.css?ver=2.1.1	D:/RTP%20OKE/66.29.141.231/css/slote1fc.css	(from http://66.29.141.231/)
10:42:26	20554/20554	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Jan%202022%2007:49:47%20GMT	http://66.29.141.231/assets/icon-hr.png	D:/RTP%20OKE/66.29.141.231/assets/icon-hr.png	(from http://66.29.141.231/)
10:42:27	226173/226173	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2016:48:26%20GMT	http://66.29.141.231/Pragmatic.html	D:/RTP%20OKE/66.29.141.231/Pragmatic.html	(from http://66.29.141.231/)
10:42:27	683/683	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Feb%202022%2003:42:28%20GMT	http://66.29.141.231/IDNSlot.html	D:/RTP%20OKE/66.29.141.231/IDNSlot.html	(from http://66.29.141.231/)
10:42:27	105439/105439	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2016:49:18%20GMT	http://66.29.141.231/IDNSlot	D:/RTP%20OKE/66.29.141.231/IDNSlot.html	(from http://66.29.141.231/)
10:42:28	683/683	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Feb%202022%2003:42:29%20GMT	http://66.29.141.231/PGSoft.html	D:/RTP%20OKE/66.29.141.231/PGSoft.html	(from http://66.29.141.231/)
10:42:28	117316/117316	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2016:50:12%20GMT	http://66.29.141.231/PGSoft	D:/RTP%20OKE/66.29.141.231/PGSoft.html	(from http://66.29.141.231/)
10:42:28	683/683	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Feb%202022%2003:42:29%20GMT	http://66.29.141.231/Habanero.html	D:/RTP%20OKE/66.29.141.231/Habanero.html	(from http://66.29.141.231/)
10:42:29	211090/211090	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jan%202022%2019:44:56%20GMT	http://66.29.141.231/Habanero	D:/RTP%20OKE/66.29.141.231/Habanero.html	(from http://66.29.141.231/)
10:42:29	683/683	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Feb%202022%2003:42:30%20GMT	http://66.29.141.231/Microgaming.html	D:/RTP%20OKE/66.29.141.231/Microgaming.html	(from http://66.29.141.231/)
10:42:29	365667/365667	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jan%202022%2019:44:38%20GMT	http://66.29.141.231/Microgaming	D:/RTP%20OKE/66.29.141.231/Microgaming.html	(from http://66.29.141.231/)
10:42:30	683/683	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Feb%202022%2003:42:31%20GMT	http://66.29.141.231/Isoftbet.html	D:/RTP%20OKE/66.29.141.231/Isoftbet.html	(from http://66.29.141.231/)
10:42:30	151738/151738	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jan%202022%2007:12:50%20GMT	http://66.29.141.231/Isoftbet	D:/RTP%20OKE/66.29.141.231/Isoftbet.html	(from http://66.29.141.231/)
10:42:30	683/683	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Feb%202022%2003:42:32%20GMT	http://66.29.141.231/PlayStar.html	D:/RTP%20OKE/66.29.141.231/PlayStar.html	(from http://66.29.141.231/)
10:42:31	162954/162954	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jan%202022%2019:44:32%20GMT	http://66.29.141.231/PlayStar	D:/RTP%20OKE/66.29.141.231/PlayStar.html	(from http://66.29.141.231/)
10:42:31	683/683	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Feb%202022%2003:42:32%20GMT	http://66.29.141.231/TTG.html	D:/RTP%20OKE/66.29.141.231/TTG.html	(from http://66.29.141.231/)
